Fitted EOF's Coefficients for LEO-15 velocity: EOF 1, 81.1%

n       U-component

10    1.914799875220385e-11
9     2.565972816391765e-09
8     1.501418703198288e-07
7     5.043449315877026e-06
6     1.076389697138197e-04
5     1.526378048505772e-03
4     1.459717975004241e-02
3     9.312589177726545e-02
2     3.782728812340091e-01
1     8.812993708926430e-01
0     9.878390454568667e-01

        V-component

10    4.120845217839520e-11
9     5.755697984237460e-09
8     3.502361073448013e-07
7     1.216789511685663e-05
6     2.657370261630851e-04
5     3.786052444181059e-03
4     3.536963902099880e-02
3     2.123785904118410e-01
2     7.807608452893087e-01
1     1.589504554493301e+00
0     1.406236472568174e+00

        Magnitude

10    1.939634804488392e-11
9     2.841431441301452e-09
8     1.817797464410356e-07
7     6.667486782379480e-06
6     1.547644411063736e-04
5     2.367340716251763e-03
4     2.408354401476675e-02
3     1.603248575784971e-01
2     6.658669265582449e-01
1     1.558263286619136e+00
0     1.665838909193486e+00

        Direction

10   -5.354987929493079e-09
9    -8.487272465604123e-07
8    -5.783490354618564e-05
7    -2.220189221530988e-03
6    -5.277336397618878e-02
5    -8.029851923989825e-01
4    -7.806703247713225e+00
3    -4.702598920814992e+01
2    -1.650626888136149e+02
1    -3.005993798622063e+02
0    -1.421708583501118e+02
